# Each item is shown by class,  subclass
# Use in quests as "Item _item_ item class # subclass #"
# I just made up each class name as I went, I need to properly rename these

Drug Class             0, -1
Indulcet               0, 0
Sursam                 0, 1
Quaesto_vil            0, 2
Aegrostat              0, 3
End of Drug Class

Junk Class             1, -1
Glass Jar              1, 0
Potion                 1, 1
Potion specific type:         Item _p1_ potion key 221871 [recipe number]
decanter               1, 2
Clay Jar               1, 3
Small Sack             1, 4
Large Sack             1, 5
Quiver                 1, 6
Backpack               1, 7
Small Chest            1, 8
Wine Rack              1, 9 (ground sprite is tomato, inventory icon is tomato)
Large Chest            1, 10
End of Junk Class

Armor Class            2, -1
Leather Cuirass        2, 0 (ground icon is metal armor)
Leather Gauntlets      2, 1 (ground sprite is bracer accessory)
Leather Greaves        2, 2 (ground sprite is bracer accessory)
Leather Left Pauldron  2, 3 (ground sprite is bracer accessory)
Leather Right Pauldron 2, 4 (ground sprite is bracer accessory)
Helm                   2, 5 (ground sprite is metal helm, material is leather)
Leather Boots          2, 6 (ground sprite looks like black rubber boots)
Buckler                2, 7 (ground sprite is metal shield, material is leather)
Round Shield           2, 8 (ground sprite is metal shield, material is leather)
Kite Shield            2, 9 (ground sprite is tall shield, material is leather)
Tower Shield           2, 10 (ground sprite is tall shield, material is leather)
End of Armor Class

Weapon Class           3, -1
Iron Dagger            3, 0
Iron Tanto             3, 1 (ground sprite is metal shield)
Iron Staff             3, 2 (ground sprite is wooden staff)
Iron Shortsword        3, 3 (ground sprite is metal sword)
Iron Wakazashi         3, 4 (ground sprite is impaled metal sword)
Iron Broadsword        3, 5 (ground sprite is impaled metal sword)
Iron Saber             3, 6 (ground sprite is impaled metal sword)
Iron Longsword         3, 7 (ground sprite is impaled metal sword)
Iron Katana            3, 8
Iron Claymore          3, 9 (ground sprite is impaled metal sword)
Iron Dai-katana        3, 10 (ground sprite is impaled metal sword)
Iron Mace              3, 11 (ground sprite is spiked metal club)
Iron Flail             3, 12 (ground sprite is spiked metal club)
Iron Warhammer         3, 13 (ground sprite is small hammer)
Iron Battleaxe         3, 14 (ground sprite is small axe)
Iron War Axe           3, 15 (ground sprite is small axe)
Iron Short Bow         3, 16
Iron Long Bow          3, 17
Arrow                  3, 18
End of Weapon Class

Magic Item             4, -1 (items are random, effect is fixed)
CWU Silence            4, 0
CWH Wisdom             4, 1
CWU Wildfire           4, 2
CWU Force Bolt         4, 3
CWU Light              4, 4
CWU Wizard Lock        4, 5
CWU Open               4, 6
