-- Jay_H Knightly Orders quest pack list

-- name:        filename of QRC txt file
-- group:       guild group from FactionFile.GuildGroups enum
-- membership:  N=non-member, M=member
-- minRep:      minimum reputation required to be offered the quest (units can use X wildcard)
-- notes:

schema: *name, group, membership, minRep, notes

JHKN001, KnightlyOrder, M, 15, a quest to protect a dragonling in a dungeon
JHKN002, KnightlyOrder, M, 5, a quest to slay criminals who have taken a farm captive
JHKN003, KnightlyOrder, M, 60, a quest to slay a vampire or vampire ancient in a dungeon
JHKN004, KnightlyOrder, M, 40, a quest to defend a city from an invasion of knights
JHKN005, KnightlyOrder, M, 5, a quest to retrieve and deliver evidence of a murder
JHKN006, KnightlyOrder, M, 10, a quest to retrieve a weapon from a murderer in a dungeon
JHKN007, KnightlyOrder, M, 50, a quest to resolve a mysterious murder spree near a local shop
JHKN008, KnightlyOrder, M, 20, a quest to stop an assassination attempt by orcs in a palace
JHKN009, KnightlyOrder, M, 25, a quest to end a cult of necromancer giants
JHKN010, KnightlyOrder, M, 0, a quest to take a weapon to a fellow knight
