-- Jay_H Commoner quest pack list

-- name:        filename of QRC txt file
-- group:       guild group from FactionFile.GuildGroups enum, or social group from FactionFile.SocialGroups enum
-- membership:  N=non-member, M=member, P=prospect, T=Akatosh, A=Arkay, D=Dibella, J=Julianos, K=Kynareth, R=Mara, S=Stendarr, Z=Zenithar
-- minReq:      minimum requirement to be offered the quest: (val < 10) = guild rank / player level, or (val >= 10) = min reputation
-- flag:        0 = nothing, X = adult/nudity, 1 = one time quest
-- notes:

schema: *name, group, membership, minReq, flag, notes

JHIM101, Commoners, N, 0, 1, a simple quiz for money
JHIM102, Commoners, N, 0, 1, a simple quiz for money
JHIM104, Commoners, N, 0, 1, a long-term quest to help a farm
JHIM105, Commoners, N, 0, 0, a quest to solve a bar fight
JHIM106, Commoners, N, 0, 0, a quest to break a grave curse
JHIM107, Commoners, N, 0, 0, a quest for vengeance in a tavern
JHIM108, Commoners, N, 0, 1, a quest for reconciliation with witches
JHIM109, Commoners, N, 0, 1, a quest to spook someone with a fake abduction
JHIM110, Commoners, N, 0, 0, a quest buying a treasure map
JHIM111, Commoners, N, 0, 0, a quest as a bodyguard
JHIM112, Commoners, N, 0, 1, a quest to test a runed object
JHIM113, Commoners, N, 0, 1, a quest to talk with a frustrated person
JHIM114, Commoners, N, 0, 0, a quest to rob a house (small)
JHIM115, Commoners, N, 0, 0, a quest to rob a house (large)
JHIM116, Commoners, N, 0, 1, a test of memory
JHIM117, Commoners, N, 0, 1, a quest to escort someone to the King of Worms
JHIM118, Commoners, N, 0, 1, a quest to capture centaurs
JHIM119, Commoners, N, 0, 1, a quest to walk a bear
JHIM120, Commoners, N, 0, 1, a quest to cure an incurable disease
JHIM121, Commoners, M, 0, 1, a quest to aid in revenge on adultery
JHIM122, Commoners, M, 0, 1, a quest to vandalize a Thieves Guild house
JHIM203, Commoners, N, 0, 1, a quest to end a haunting
