-- Jay_H Fighters Guild quest pack list

-- name:        filename of QRC txt file
-- group:       guild group from FactionFile.GuildGroups enum, or social group from FactionFile.SocialGroups enum
-- membership:  N=non-member, M=member, P=prospect, T=Akatosh, A=Arkay, D=Dibella, J=Julianos, K=Kynareth, R=Mara, S=Stendarr, Z=Zenithar
-- minReq:      minimum requirement to be offered the quest: (val < 10) = guild rank / player level, or (val >= 10) = min reputation
-- flag:        0 = nothing, X = adult/nudity, 1 = one time quest
-- notes:

schema: *name, group, membership, minReq, flag, notes

JHFG201, FightersGuild, M, 3, 0, a quest to slay a vampire in another town
JHFG202, FightersGuild, M, 6, X, a quest to slay a daedra in a dungeon
JHFG203, FightersGuild, M, 1, 1, a quest to slay angry rangers and their pets
JHFG205, FightersGuild, M, 1, 0, a quest to slay a pack of beasts at a rural farmhome
JHFG210, FightersGuild, M, 3, 0, a quest to rid a city's streets of poisonous critters
JHFG212, FightersGuild, M, 4, 1, a quest to slay a Mages Guild member in a city
JHFG214, FightersGuild, M, 0, 1, a quest to slay a zombie in a house
JHFG216, FightersGuild, M, 4, 1, a quest to get rid of a bad guild member
JHFG217, FightersGuild, M, 4, 0, a quest to slay a high-ranking Mages Guild Necromancer
JHFG225, FightersGuild, M, 0, 0, a quest to help find someone from the Mages Guild
JHFG234, FightersGuild, M, 2, 0, a quest to kill a fire atronach in a palace
JHFG235, FightersGuild, M, 0, 0, a quest to kill two skeletons in a house
JHFG236, FightersGuild, M, 1, 0, a quest to kill a conjurer in a dungeon
JHFG237, FightersGuild, M, 2, 1, a quest to kill a Dark Brotherhood member for a widow
JHFG238, FightersGuild, M, 0, 1, a quest to kill a thief in a local shop
