-- Jay_H Fighters Guild quest pack list

-- name:        filename of QRC txt file
-- group:       guild group from FactionFile.GuildGroups enum, or social group from FactionFile.SocialGroups enum
-- membership:  N=non-member, M=member, P=prospect, T=Akatosh, A=Arkay, D=Dibella, J=Julianos, K=Kynareth, R=Mara, S=Stendarr, Z=Zenithar
-- minReq:      minimum requirement to be offered the quest: (val < 10) = guild rank / player level, or (val >= 10) = min reputation
-- flag:        0 = nothing, X = adult/nudity, 1 = one time quest
-- notes:

schema: *name, group, membership, minReq, flag, notes

JHFG001, FightersGuild, M, 3, 0, a quest to slay a vampire in another town
JHFG002, FightersGuild, M, 6, X, a quest to slay a daedra in a dungeon
JHFG003, FightersGuild, M, 5, 0, a quest to slay a criminal in a dungeon
JHFG003a, FightersGuild, P, 0, 0,
JHFG003b, FightersGuild, P, 0, 0,
JHFG003c, FightersGuild, P, 0, 0,
JHFG003d, FightersGuild, P, 0, 0,
JHFG004, FightersGuild, M, 0, 0, a quest to guard a residence from intruders
JHFG005, FightersGuild, M, 1, 0, a quest to slay a pack of beasts at a rural farmhome
JHFG006, FightersGuild, M, 2, 0, a quest to stop an assassination inside a home
JHFG007, FightersGuild, M, 1, 1, courier work + ambush in a house
JHFG008, FightersGuild, M, 5, 1, a quest to defend a vampire in a palace
JHFG009, FightersGuild, M, 2, 0, expert werewolf hunting
JHFG010, FightersGuild, M, 3, 0, a quest to rid a city's streets of poisonous critters
JHFG011, FightersGuild, M, 8, 1, an artifact quest to invade a vampire cult
JHFG012, FightersGuild, M, 1, 0, a quest to slay a Mages Guild member in a city
JHFG013, FightersGuild, M, 1, 0, a quest to get a giant out of a house
-JHFG014, FightersGuild, M, 7, 1,
JHFG015, FightersGuild, M, 0, 0, a quest to fight in a dungeon with a partner
JHFG016, FightersGuild, M, 4, 1, a quest to get rid of a bad guild member
JHFG017, FightersGuild, M, 4, 0, a quest to slay a high-ranking Mages Guild Necromancer
-JHFG018, FightersGuild, M, 4, 0,
JHFG019, FightersGuild, M, 6, 0, a quest to defend the city against appearing monsters
JHFG020, FightersGuild, M, 1, 0, a quest to persuade a guild member to start again
JHFG021, FightersGuild, M, 1, 0, a quest to escort a debtor
JHFG022, FightersGuild, M, 1, 0, a quest to guard a tavern
JHFG023, FightersGuild, M, 6, 0, a quest to save someone from hunting vampires
JHFG024, FightersGuild, M, 4, 1, a contest to kill bats
JHFG025, FightersGuild, M, 0, 0, a quest to help find someone from the Mages Guild
JHFG026, FightersGuild, M, 1, 0, a quest to interrupt thieves' plan to destroy evidence
JHFG027, FightersGuild, M, 4, 1, a quest to help someone fleeing the Dark Brotherhood
JHFG027a, FightersGuild, P, 4, 1, a quest to help someone fleeing the Dark Brotherhood
JHFG028, FightersGuild, M, 8, 1, a quest to supposedly escort someone
JHFG029, FightersGuild, M, 7, 1, a quest to meet a mysterious dueler
JHFG030, FightersGuild, M, 3, 1, a quest to help clear a cemetery of its guardian
